Site	Status	Sex	Protocol	sample_id	file name	file type	url
CCH	case	female	Buffy Coat method	MOHD_EA100001	MOHD_EA100001_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100001/MOHD_EA100001_signal-pvalue_GRCh38_v0.bigWig
CCH	case	female	Buffy Coat method	MOHD_EA100001	MOHD_EA100001_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100001/MOHD_EA100001_peaks-FDR5_GRCh38_v0.bigBed
CCH	case	female	Buffy Coat method	MOHD_EA100001	MOHD_EA100001_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100001/MOHD_EA100001_peaks-pseudorep_GRCh38_v0.bigBed
CCH	case	female	Buffy Coat method	MOHD_EA100001	MOHD_EA100001_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100001/MOHD_EA100001_signal-FC_GRCh38_v0.bigWig
CCH	case	female	Buffy Coat method	MOHD_EA100002	MOHD_EA100002_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100002/MOHD_EA100002_peaks-pseudorep_GRCh38_v0.bigBed
CCH	case	female	Buffy Coat method	MOHD_EA100002	MOHD_EA100002_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100002/MOHD_EA100002_peaks-FDR5_GRCh38_v0.bigBed
CCH	case	female	Buffy Coat method	MOHD_EA100002	MOHD_EA100002_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100002/MOHD_EA100002_signal-FC_GRCh38_v0.bigWig
CCH	case	female	Buffy Coat method	MOHD_EA100002	MOHD_EA100002_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100002/MOHD_EA100002_signal-pvalue_GRCh38_v0.bigWig
CCH	control	female	Buffy Coat method	MOHD_EA100003	MOHD_EA100003_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100003/MOHD_EA100003_signal-pvalue_GRCh38_v0.bigWig
CCH	control	female	Buffy Coat method	MOHD_EA100003	MOHD_EA100003_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100003/MOHD_EA100003_peaks-FDR5_GRCh38_v0.bigBed
CCH	control	female	Buffy Coat method	MOHD_EA100003	MOHD_EA100003_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100003/MOHD_EA100003_signal-FC_GRCh38_v0.bigWig
CCH	control	female	Buffy Coat method	MOHD_EA100003	MOHD_EA100003_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100003/MOHD_EA100003_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	Buffy Coat method	MOHD_EA100004	MOHD_EA100004_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100004/MOHD_EA100004_signal-pvalue_GRCh38_v0.bigWig
CKD	control	female	Buffy Coat method	MOHD_EA100004	MOHD_EA100004_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100004/MOHD_EA100004_peaks-FDR5_GRCh38_v0.bigBed
CKD	control	female	Buffy Coat method	MOHD_EA100004	MOHD_EA100004_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100004/MOHD_EA100004_signal-FC_GRCh38_v0.bigWig
CKD	control	female	Buffy Coat method	MOHD_EA100004	MOHD_EA100004_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100004/MOHD_EA100004_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	CPT method	MOHD_EA100005	MOHD_EA100005_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100005/MOHD_EA100005_signal-pvalue_GRCh38_v0.bigWig
CKD	control	female	CPT method	MOHD_EA100005	MOHD_EA100005_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100005/MOHD_EA100005_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	CPT method	MOHD_EA100005	MOHD_EA100005_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100005/MOHD_EA100005_signal-FC_GRCh38_v0.bigWig
CKD	control	female	CPT method	MOHD_EA100005	MOHD_EA100005_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100005/MOHD_EA100005_peaks-FDR5_GRCh38_v0.bigBed
